method,dtype_name,cell_count,median_q95_slope,q25_q95_slope,q75_q95_slope
R0_C0,float32,64,0.49451855558841273,0.05450943118382927,0.9527844329192809
R0_C0,float64,64,0.5487410904940823,0.03901208865960911,1.4314562245664033
R0_C1,float32,64,0.25575014713944233,0.12028352941072673,0.4455067181323132
R0_C1,float64,64,0.2904322401933068,0.11004145650282585,0.45155819660111485
R0_C2,float32,64,0.28284496105519563,0.10748846225763296,0.477864163470621
R0_C2,float64,64,0.3450774684534423,0.08494948463891774,0.4858935872176979
R1_C1,float32,64,0.22485645819471495,0.08528103959570242,0.5855220512404928
R1_C1,float64,64,0.23427114461349563,0.08753269380596598,0.5909849087245308
R2_C2,float32,64,0.2798017410081837,0.08638993370241242,0.5842566270594418
R2_C2,float64,64,0.29728123889301383,0.08883549317533168,0.5841504924333383
